Constituency,Const. No.,Parliament Constituency,Leading Candidate,Trailing Candidate,Margin,Status,State ID,Country
Surat,24,SURAT(24),MUKESHKUMAR CHANDRAKAANT DALAL,,0,Uncontested,S06,India
INDORE,26,INDORE(26),SHANKAR LALWANI,SANJAY S/O LAKSHMAN SOLANKI,1175092,Result Declared,S12,India
Dhubri,2,DHUBRI(2),RAKIBUL HUSSAIN,MOHAMMED BADRUDDIN AJMAL,1012476,Result Declared,S03,India
VIDISHA,18,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,PRATAPBHANU SHARMA,821408,Result Declared,S12,India
Navsari,25,NAVSARI(25),C R PATIL,NAISHADHBHAI BHUPATBHAI  DESAI,773551,Result Declared,S06,India
Gandhinagar,6,GANDHINAGAR(6),AMIT SHAH,SONAL RAMANBHAI PATEL,744716,Result Declared,S06,India
Diamond harbour,21,DIAMONDHARBOUR(21),ABHISHEK BANERJEE,ABHIJIT DAS (BOBBY),710930,Result Declared,S25,India
Tripura West,1,TRIPURAWEST(1),BIPLAB KUMAR DEB,ASISH KUMAR SAHA,611578,Result Declared,S23,India
Vadodara,20,VADODARA(20),DR. HEMANG JOSHI,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),582126,Result Declared,S06,India
RAIPUR,8,RAIPUR(8),BRIJMOHAN AGRAWAL,VIKAS UPADHYAY,575285,Result Declared,S26,India
TIRUVALLUR,1,TIRUVALLUR(1),Sasikanth Senthil,"Balaganapathy, V. Pon",572155,Result Declared,S22,India
Nalgonda,13,NALGONDA(13),KUNDURU RAGHUVEER,SAIDI REDDY SHANAMPUDI,559905,Result Declared,S29,India
Gautam Buddha Nagar,13,GAUTAMBUDDHANAGAR(13),DR. MAHESH SHARMA,DR. MAHENDRA SINGH NAGAR,559472,Result Declared,S24,India
KHAJURAHO,8,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),KAMLESH KUMAR,541229,Result Declared,S12,India
GUNA,4,GUNA(4),JYOTIRADITYA M. SCINDIA,YADVENDRA RAO DESHRAJ SINGH,540929,Result Declared,S12,India
Panchmahal,18,PANCHMAHAL(18),RAJPALSINH MAHENDRASINH JADAV,GULABSINH SOMSINH CHAUHAN,509342,Result Declared,S06,India
Visakhapatnam,4,VISAKHAPATNAM(4),SRIBHARAT MATHUKUMILI,JHANSI LAKSHMI. BOTCHA.,504247,Result Declared,S01,India
BHOPAL,19,BHOPAL(19),ALOK SHARMA,ADVOCATE ARUN SHRIVASTAVA,501499,Result Declared,S12,India
MANDSOUR,23,MANDSOUR(23),SUDHEER GUPTA,DILIP SINGH GURJAR,500655,Result Declared,S12,India
SRIPERUMBUDUR,5,SRIPERUMBUDUR(5),T R BAALU,G PREMKUMAR,487029,Result Declared,S22,India
Tripura East,2,TRIPURAEAST(2),KRITI DEVI DEBBARMAN,RAJENDRA REANG,486819,Result Declared,S23,India
JABALPUR,13,JABALPUR(13),ASHISH DUBEY,DINESH YADAV,486674,Result Declared,S12,India
Rajkot,10,RAJKOT(10),PARSHOTTAMBHAI RUPALA,DHANANI PARESH,484260,Result Declared,S06,India
SAGAR,5,SAGAR(5),DR. LATA WANKHEDE,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',471222,Result Declared,S12,India
Joynagar,19,JOYNAGAR(19),PRATIMA MONDAL,ASHOK KANDARY,470219,Result Declared,S25,India
Khammam,17,KHAMMAM(17),RAMASAHAYAM RAGHURAM REDDY,NAMA NAGESWARA RAO,467847,Result Declared,S29,India
Ahmedabad East,7,AHMEDABADEAST(7),HASMUKHBHAI PATEL (H.S.PATEL),HIMMATSINH PRAHLADSINH PATEL,461755,Result Declared,S06,India
Bhavnagar,15,BHAVNAGAR(15),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),UMESHBHAI NARANBHAI MAKWANA,455289,Result Declared,S06,India
DINDIGUL,22,DINDIGUL(22),SACHITHANANTHAM R,MOHAMED MUBARAK M A,443821,Result Declared,S22,India
DURG,7,DURG(7),VIJAY BAGHEL,RAJENDRA SAHU,438226,Result Declared,S26,India
HOSHANGABAD,17,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,SANJAY SHARMA SANJU BHAIYA,431696,Result Declared,S12,India
DEWAS,21,DEWAS(21),MAHENDRA SINGH SOLANKY,RAJENDRA RADHAKISHAN MALVIYA,425225,Result Declared,S12,India
DAMOH,7,DAMOH(7),RAHUL SINGH LODHI,TARBAR SINGH LODHI (BANTU BHAIYA),406426,Result Declared,S12,India
TIKAMGARH,6,TIKAMGARH(6),DR. VIRENDRA KUMAR,KHUMAN URF PANKAJ AHIRWAR,403312,Result Declared,S12,India
Chhota Udaipur,21,CHHOTAUDAIPUR(21),JASHUBHAI BHILUBHAI RATHVA,SUKHRAMBHAI HARIYABHAI RATHWA,398777,Result Declared,S06,India
SHAHDOL,12,SHAHDOL(12),SMT. HIMADRI SINGH,PHUNDE LAL SINGH MARKO,397340,Result Declared,S12,India
THOOTHUKKUDI,36,THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,SIVASAMY VELUMANI R,392738,Result Declared,S22,India
RAJSAMAND,22,RAJSAMAND(22),MAHIMA KUMARI MEWAR,DR. DAMODAR GURJAR,392223,Result Declared,S20,India
Malkajgiri,7,MALKAJGIRI(7),EATALA RAJENDER,PATNAM SUNEETHA MAHENDER REDDY,391475,Result Declared,S29,India
Rae Bareli,36,RAEBARELI(36),RAHUL GANDHI,DINESH PRATAP SINGH,390030,Result Declared,S24,India
CHITTORGARH,21,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,ANJANA UDAILAL,389877,Result Declared,S20,India
PERAMBALUR,25,PERAMBALUR(25),ARUN NEHRU,CHANDRAMOHAN N D,389107,Result Declared,S22,India
Porbandar,11,PORBANDAR(11),DR. MANSUKH MANDAVIYA,LALIT VASOYA,383360,Result Declared,S06,India
BETUL,29,BETUL(29),DURGADAS (D. D.) UIKEY,RAMU TEKAM,379761,Result Declared,S12,India
Kodarma,5,KODARMA(5),ANNPURNA DEVI,VINOD KUMAR SINGH,377014,Result Declared,S27,India
UJJAIN,22,UJJAIN(22),ANIL FIROJIYA,MAHESH PARMAR,375860,Result Declared,S12,India
Shillong,1,SHILLONG(1),DR. RICKY ANDREW J. SYNGKON,VINCENT H. PALA,371910,Result Declared,S15,India
JHALAWAR-BARAN,25,JHALAWAR-BARAN(25),DUSHYANT SINGH,URMILA JAIN “BHAYA”,370989,Result Declared,S20,India
Wayanad,4,WAYANAD(4),RAHUL GANDHI,ANNIE RAJA,364422,Result Declared,S11,India
Sonitpur,11,SONITPUR(11),RANJIT DUTTA,PREMLAL GANJU,361408,Result Declared,S03,India
Kheda,17,KHEDA(17),DEVUSINH CHAUHAN,KALUSINH DABHI,357758,Result Declared,S06,India
Mumbai North,26,MUMBAINORTH(26),PIYUSH GOYAL,BHUSHAN PATIL,357608,Result Declared,S13,India
BHILWARA,23,BHILWARA(23),DAMODAR AGARWAL,C P JOSHI,354606,Result Declared,S20,India
Mahabubabad,16,MAHABUBABAD(16),BALRAM NAIK PORIKA,KAVITHA MALOTH,349165,Result Declared,S29,India
ROHTAK,7,ROHTAK(7),DEEPENDER SINGH HOODA,DR. ARVIND KUMAR SHARMA,345298,Result Declared,S07,India
Guntur,13,GUNTUR(13),DR CHANDRA SEKHAR PEMMASANI,KILARI VENKATA ROSAIAH,344695,Result Declared,S01,India
Amalapuram (SC),7,AMALAPURAM(SC)(7),G M HARISH (BALAYOGI),RAPAKA VARAPRASADA RAO,342196,Result Declared,S01,India
CHENNAI NORTH,2,CHENNAINORTH(2),DR.KALANIDHI VEERASWAMY,R. MANOHAR,339222,Result Declared,S22,India
Hyderabad,9,HYDERABAD(9),ASADUDDIN OWAISI,MADHAVI LATHA KOMPELLA,338087,Result Declared,S29,India
Uttara Kannada,12,UTTARAKANNADA(12),VISHWESHWAR HEGDE KAGERI,DR. ANJALI NIMBALKAR,337428,Result Declared,S10,India
Ghaziabad,12,GHAZIABAD(12),ATUL GARG,DOLLY SHARMA,336965,Result Declared,S24,India
Nainital-Udhamsingh Nagar,4,NAINITAL-UDHAMSINGHNAGAR(4),AJAY BHATT,PRAKASH JOSHI,334548,Result Declared,S28,India
Dahod,19,DAHOD(19),JASWANTSINH SUMANBHAI BHABHOR,DR. PRABHABEN KISHORSINH TAVIYAD,333677,Result Declared,S06,India
Basirhat,18,BASIRHAT(18),SK NURUL ISLAM,REKHA PATRA,333547,Result Declared,S25,India
JAIPUR,7,JAIPUR(7),MANJU SHARMA,PRATAP SINGH KHACHARIYAWAS,331767,Result Declared,S20,India
Dhanbad,7,DHANBAD(7),DULU MAHATO,ANUPAMA SINGH,331583,Result Declared,S27,India
AJMER,13,AJMER(13),BHAGIRATH CHOUDHARY,RAMCHANDRA CHOUDHARY,329991,Result Declared,S20,India
Osmanabad,40,OSMANABAD(40),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,ARCHANA RANAJAGJITSINH PATIL,329846,Result Declared,S13,India
Darrang-Udalguri,4,DARRANG-UDALGURI(4),DILIP SAIKIA,MADHAB RAJBANGSHI,329012,Result Declared,S03,India
Mahesana,4,MAHESANA(4),HARIBHAI PATEL,RAMJI THAKOR,328046,Result Declared,S06,India
Srikakulam,2,SRIKAKULAM(2),KINJARAPU RAMMOHAN NAIDU,TILAK PERADA,327901,Result Declared,S01,India
Bolpur,41,BOLPUR(41),ASIT KUMAR MAL,PIYA SAHA,327253,Result Declared,S25,India
Amreli,14,AMRELI(14),BHARATBHAI MANUBHAI SUTARIYA,JENNY THUMMAR,321068,Result Declared,S06,India
THANJAVUR,30,THANJAVUR(30),MURASOLI S,SIVANESAN P,319583,Result Declared,S22,India
TIRUCHIRAPPALLI,24,TIRUCHIRAPPALLI(24),DURAI VAIKO,KARUPPAIAH. P,313094,Result Declared,S22,India
ARAKKONAM,7,ARAKKONAM(7),S JAGATHRATCHAKAN,L VIJAYAN,306559,Result Declared,S22,India
Malappuram,6,MALAPPURAM(6),E.T.  MOHAMMED BASHEER,V. VASEEF,300118,Result Declared,S11,India
Anakapalle,5,ANAKAPALLE(5),C.M.RAMESH,BUDI MUTYALA NAIDU,296530,Result Declared,S01,India
Mathura,17,MATHURA(17),HEMAMALINI DHARMENDRA DEOL,MUKESH DHANGAR,293407,Result Declared,S24,India
North-West Delhi,5,NORTH-WESTDELHI(5),YOGENDER CHANDOLIYA,UDIT RAJ,290849,Result Declared,U05,India
Palamau,13,PALAMAU(13),VISHNU DAYAL RAM,MAMTA BHUIYAN,288807,Result Declared,S27,India
Ahmedabad West,8,AHMEDABADWEST(8),DINESHBHAI MAKWANA (ADVOCATE),BHARAT YOGENDRA MAKWANA,286437,Result Declared,S06,India
Mandya,20,MANDYA(20),H.D. KUMARASWAMY,VENKATARAMANE GOWDA (STAR CHANDRU),284620,Result Declared,S10,India
Vijayawada,12,VIJAYAWADA(12),KESINENI SIVANATH (CHINNI),KESINENI SRINIVAS  (NANI),282085,Result Declared,S01,India
ANANTNAG-RAJOURI,3,ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,MEHBOOBA MUFTI,281794,Result Declared,U08,India
Dibrugarh,13,DIBRUGARH(13),SARBANANDA SONOWAL,LURINJYOTI GOGOI,279321,Result Declared,S03,India
THENI,33,THENI(33),THANGA TAMILSELVAN,TTV DHINAKARAN,278825,Result Declared,S22,India
Bangalore South,26,BANGALORESOUTH(26),TEJASVI SURYA,SOWMYA REDDY,277083,Result Declared,S10,India
Narsapuram,9,NARSAPURAM(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),UMABALA GUDURI,276802,Result Declared,S01,India
Hazaribagh,14,HAZARIBAGH(14),MANISH JAISWAL,JAI PRAKASH BHAI PATEL,276686,Result Declared,S27,India
Bulandshahr,14,BULANDSHAHR(14),DR BHOLA SINGH,SHIVRAM,275134,Result Declared,S24,India
Tehri Garhwal,1,TEHRIGARHWAL(1),MALA RAJYA LAKSHMI SHAH,JOT SINGH GUNSOLA,272493,Result Declared,S28,India
Raver,4,RAVER(4),KHADSE RAKSHA NIKHIL,SHRIRAM DAYARAM PATIL,272183,Result Declared,S13,India
Agra,18,AGRA(18),PROF S P SINGH BAGHEL,SURESH CHAND KARDAM,271294,Result Declared,S24,India
MAYILADUTHURAI,28,MAYILADUTHURAI(28),SUDHA R,BABU P,271183,Result Declared,S22,India
KHANDWA,28,KHANDWA(28),GYANESHWAR PATIL,NARENDRA PATEL,269971,Result Declared,S12,India
Bangalore Rural,23,BANGALORERURAL(23),DR C N MANJUNATH,D K SURESH,269647,Result Declared,S10,India
Kachchh,1,KACHCHH(1),CHAVDA VINOD LAKHAMSHI,NITESH PARBATBHAI LALAN (MATANG),268782,Result Declared,S06,India
SIRSA,3,SIRSA(3),SELJA,ASHOK TANWAR,268497,Result Declared,S07,India
Silchar,8,SILCHAR(8),PARIMAL SUKLABAIDYA,SURYA KANTA SARKAR,264311,Result Declared,S03,India
Surendranagar,9,SURENDRANAGAR(9),CHANDUBHAI CHHAGANBHAI SHIHORA,RUTVIKBHAI LAVJIBHAI MAKWANA,261617,Result Declared,S06,India
UDAIPUR,19,UDAIPUR(19),MANNA LAL RAWAT,TARACHAND MEENA,261608,Result Declared,S20,India
Chandrapur,13,CHANDRAPUR(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,MUNGANTIWAR SUDHIR SACCHIDANAND,260406,Result Declared,S13,India
Jamshedpur,9,JAMSHEDPUR(9),BIDYUT BARAN MAHATO,SAMIR KUMAR MOHANTY,259782,Result Declared,S27,India
Bangalore North,24,BANGALORENORTH(24),SHOBHA KARANDLAJE,PROFESSOR M.V RAJEEV GOWDA,259476,Result Declared,S10,India
Udupi Chikmagalur,15,UDUPICHIKMAGALUR(15),KOTA SRINIVAS POOJARY,K. JAYAPRAKASH HEGDE,259175,Result Declared,S10,India
Jadavpur,22,JADAVPUR(22),SAYANI GHOSH,DR. ANIRBAN GANGULY,258201,Result Declared,S25,India
POLLACHI,21,POLLACHI(21),ESWARASAMY K,KARTHIKEYAN A,252042,Result Declared,S22,India
KANGRA,1,KANGRA(1),DR RAJEEV BHARDWAJ,ANAND SHARMA,251895,Result Declared,S08,India
Bargarh,1,BARGARH(1),PRADEEP PUROHIT,PARINITA MISHRA,251667,Result Declared,S18,India
Jalgaon,3,JALGAON(3),SMITA UDAY WAGH,KARAN BALASAHEB PATIL - PAWAR,251594,Result Declared,S13,India
Guwahati,5,GUWAHATI(5),BIJULI KALITA MEDHI,MIRA BORTHAKUR GOSWAMI,251090,Result Declared,S03,India
Ernakulam,12,ERNAKULAM(12),HIBI EDEN,K. J. SHINE TEACHER,250385,Result Declared,S11,India
Vizianagaram,3,VIZIANAGARAM(3),APPALANAIDU KALISETTI,BELLANA CHANDRASEKHAR,249351,Result Declared,S01,India
Kaziranga,10,KAZIRANGA(10),KAMAKHYA PRASAD TASA,ROSELINA TIRKEY,248947,Result Declared,S03,India
Hathras,16,HATHRAS(16),ANOOP PRADHAN BALMIKI,JASVEER VALMIKI,247318,Result Declared,S24,India
BANSWARA,20,BANSWARA(20),RAJ KUMAR ROAT,MAHENDRAJEETSINGH MALVIYA,247054,Result Declared,S20,India
Nellore,22,NELLORE(22),PRABHAKAR REDDY VEMIREDDY,VENUMBAKA VIJAYASAI REDDY,245902,Result Declared,S01,India
PALI,15,PALI(15),P. P. CHAUDHARY,SANGEETA BENIWAL,245351,Result Declared,S20,India
CHENNAI CENTRAL,4,CHENNAICENTRAL(4),DAYANIDHI MARAN,VINOJ,244689,Result Declared,S22,India
Shimoga,14,SHIMOGA(14),B.Y.RAGHAVENDRA,GEETHA SHIVARAJKUMAR,243715,Result Declared,S10,India
NILGIRIS,19,NILGIRIS(19),RAJA A,DR MURUGAN L,240585,Result Declared,S22,India
RAIGARH,2,RAIGARH(2),RADHESHYAM RATHIYA,DR. MENKA DEVI SINGH,240391,Result Declared,S26,India
Rajahmundry,8,RAJAHMUNDRY(8),DAGGUBATI PURANDHESHWARI,DR. GUDURI SRINIVAS,239139,Result Declared,S01,India
Jamnagar,12,JAMNAGAR(12),POONAMBEN HEMATBHAI MAADAM,ADVOCATE J. P. MARAVIYA,238008,Result Declared,S06,India
DAUSA,11,DAUSA(11),MURARI LAL MEENA,KANHAIYA LAL MEENA,237340,Result Declared,S20,India
ERODE,17,ERODE(17),K E PRAKASH,ASHOK KUMAR,236566,Result Declared,S22,India
Ponnani,7,PONNANI(7),DR. M.P ABDUSSAMAD SAMADANI,K.S HAMZA,235760,Result Declared,S11,India
Muzaffarpur,15,MUZAFFARPUR(15),RAJ BHUSHAN CHOUDHARY,AJAY NISHAD,234927,Result Declared,S04,India
Almora,3,ALMORA(3),AJAY TAMTA,PRADEEP TAMTA,234097,Result Declared,S28,India
TIRUVANNAMALAI,11,TIRUVANNAMALAI(11),"ANNADURAI, C.N.",KALIYAPERUMAL M,233931,Result Declared,S22,India
KARNAL,5,KARNAL(5),MANOHAR LAL,DIVYANSHU BUDHIRAJA,232577,Result Declared,S07,India
Bardoli,23,BARDOLI(23),PARBHUBHAI NAGARBHAI VASAVA,CHAUDHARY SIDDHARTH AMARSINH,230253,Result Declared,S06,India
Kakinada,6,KAKINADA(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),CHALAMALASETTY SUNIL,229491,Result Declared,S01,India
CHENNAI SOUTH,3,CHENNAISOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,DR.TAMILISAI SOUNDARARAJAN,225945,Result Declared,S22,India
Karimnagar,3,KARIMNAGAR(3),BANDI SANJAY KUMAR,VELCHALA RAJENDER RAO,225209,Result Declared,S29,India
Machilipatnam,11,MACHILIPATNAM(11),BALASHOWRY VALLABHANENI,SIMHADRI CHANDRA SEKHAR RAO,223179,Result Declared,S01,India
Barpeta,3,BARPETA(3),PHANI BHUSAN CHOUDHURY,DEEP BAYAN,222351,Result Declared,S03,India
Bhongir,14,BHONGIR(14),CHAMALA KIRAN KUMAR REDDY,DR. BOORA NARSAIAH GOUD,222170,Result Declared,S29,India
Mainpuri,21,MAINPURI(21),DIMPLE YADAV,JAYVEER SINGH,221639,Result Declared,S24,India
KANCHEEPURAM,6,KANCHEEPURAM(6),SELVAM. G,RAJASEKAR. E,221473,Result Declared,S22,India
Chatra,4,CHATRA(4),KALI CHARAN SINGH,KRISHNA NAND TRIPATHI,220959,Result Declared,S27,India
Chittoor(SC),25,CHITTOOR(SC)(25),DAGGUMALLA PRASADA RAO,REDDEPPA.N .,220479,Result Declared,S01,India
Warangal,15,WARANGAL(15),KADIYAM KAVYA,AROORI RAMESH,220339,Result Declared,S29,India
Mayurbhanj,5,MAYURBHANJ(5),NABA CHARAN MAJHI,SUDAM MARNDI,219334,Result Declared,S18,India
Uluberia,26,ULUBERIA(26),SAJDA AHMED,ARUNUDAY PAULCHOWDHURY,218673,Result Declared,S25,India
DHAR,25,DHAR(25),SAVITRI THAKUR,RADHESHYAM MUVEL,218665,Result Declared,S12,India
Thane,25,THANE(25),NARESH GANPAT MHASKE,RAJAN BABURAO VICHARE,217011,Result Declared,S13,India
Barabanki,53,BARABANKI(53),TANUJ PUNIA,RAJRANI RAWAT,215704,Result Declared,S24,India
VELLORE,8,VELLORE(8),DM KATHIR ANAND,AC SHANMUGAM,215702,Result Declared,S22,India
Nagaon,9,NAGAON(9),PRADYUT BORDOLOI,SURESH BORAH,212231,Result Declared,S03,India
Valsad,26,VALSAD(26),DHAVAL LAXMANBHAI PATEL,ANANTKUMAR HASMUKHBHAI PATEL,210704,Result Declared,S06,India
MADURAI,32,MADURAI(32),VENKATESAN S,RAAMA SREENIVASAN,209409,Result Declared,S22,India
Kalyan,24,KALYAN(24),DR SHRIKANT EKNATH SHINDE,VAISHALI DAREKAR - RANE,209144,Result Declared,S13,India
NAGAPATTINAM,29,NAGAPATTINAM(29),SELVARAJ V,DR SURSITH SANKAR G,208957,Result Declared,S22,India
ARANI,12,ARANI(12),THARANIVENTHAN M S,"GAJENDRAN, G.V.",208766,Result Declared,S22,India
Bapatla (SC),15,BAPATLA(SC)(15),KRISHNA PRASAD TENNETI,NANDIGAM SURESH BABU,208031,Result Declared,S01,India
RATLAM,24,RATLAM(24),ANITA NAGARSINGH CHOUHAN,KANTILAL BHURIA,207232,Result Declared,S12,India
SIDHI,11,SIDHI(11),DR. RAJESH MISHRA,KAMLESHWAR INDRAJIT KUMAR,206416,Result Declared,S12,India
SIVAGANGA,31,SIVAGANGA(31),KARTI P CHIDAMBARAM,XAVIERDASS A,205664,Result Declared,S22,India
BARAMULLA,1,BARAMULLA(1),ABDUL RASHID SHEIKH,OMAR ABDULLAH,204142,Result Declared,U08,India
JALORE,18,JALORE(18),LUMBARAM,VAIBHAV GEHLOT,201543,Result Declared,S20,India
Lakhimpur,12,LAKHIMPUR(12),PRADAN BARUAH,UDAY SHANKAR HAZARIKA,201257,Result Declared,S03,India
Mathurapur,20,MATHURAPUR(20),BAPI HALDAR,ASHOK PURKAIT,201057,Result Declared,S25,India
West Delhi,6,WESTDELHI(6),KAMALJEET SEHRAWAT,MAHABAL MISHRA,199013,Result Declared,U05,India
Birbhum,42,BIRBHUM(42),SATABDI ROY,DEBTANU BHATTACHARYA,197650,Result Declared,S25,India
Khadoor Sahib,3,KHADOORSAHIB(3),AMRITPAL SINGH,KULBIR SINGH ZIRA,197120,Result Declared,S19,India
TENKASI,37,TENKASI(37),DR RANI SRI KUMAR,DR K KRISHNASAMY,196199,Result Declared,S22,India
REWA,10,REWA(10),JANARDAN MISHRA,NEELAM ABHAY MISHRA,193374,Result Declared,S12,India
KRISHNAGIRI,9,KRISHNAGIRI(9),GOPINATH K,JAYAPRAKASH V,192486,Result Declared,S22,India
Chamarajanagar,22,CHAMARAJANAGAR(22),SUNIL BOSE,BALARAJ.S,188706,Result Declared,S10,India
Ananthapur,19,ANANTHAPUR(19),AMBICA G LAKSHMINARAYANA VALMIKI,MALAGUNDLA SANKAR NARAYANA,188555,Result Declared,S01,India
SRINAGAR,2,SRINAGAR(2),AGA SYED RUHULLAH MEHDI,WAHEED UR REHMAN PARA,188416,Result Declared,U08,India
Samastipur,23,SAMASTIPUR(23),SHAMBHAVI,SUNNY HAZARI,187251,Result Declared,S04,India
Kolkata Dakshin,23,KOLKATADAKSHIN(23),MALA ROY,DEBASREE CHAUDHURI,187231,Result Declared,S25,India
Ranaghat,13,RANAGHAT(13),JAGANNATH SARKAR,MUKUT MANI ADHIKARI,186899,Result Declared,S25,India
CUDDALORE,26,CUDDALORE(26),M.K. VISHNUPRASAD,P. SIVAKOZHUNDU,185896,Result Declared,S22,India
